project_id,total_paid,sanction_amount,max_progress,payment_count,overrun_ratio,payment_anomaly_score,payment_reason,data_source
WS/  MP620/2025-2026/133191-Construction of buildings for community cultural activities,1050000.0,1500000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/  MP620/2025-2026/133305-Construction of buildings for community cultural activities,280000.0,400000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18006/2024-2025/134703-Construction of roads, link roads, pathways or any other road with or without drainage system",350000.0,500000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18006/2024-2025/135593-Construction of roads, link roads, pathways or any other road with or without drainage system",450000.0,450000.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18006/2024-2025/135595-Construction of roads, link roads, pathways or any other road with or without drainage system",450000.0,450000.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18006/2024-2025/135639-Providing drains and gutters for public drainage,440871.0,440871.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18006/2024-2025/135640-Providing drains and gutters for public drainage,500000.0,500000.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18006/2024-2025/135641-Providing drains and gutters for public drainage,489209.0,489209.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18006/2024-2025/135642-Providing drains and gutters for public drainage,334506.19999999995,477866.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18006/2024-2025/135643-Providing drains and gutters for public drainage,140000.0,200000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18006/2024-2025/135645-Construction of roads, link roads, pathways or any other road with or without drainage system",400000.0,400000.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18006/2024-2025/135646-Construction of roads, link roads, pathways or any other road with or without drainage system",70000.0,100000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18006/2024-2025/135647-Construction of roads, link roads, pathways or any other road with or without drainage system",350000.0,500000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18006/2024-2025/135648-Construction of roads, link roads, pathways or any other road with or without drainage system",500000.0,500000.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18006/2024-2025/135649-Construction of roads, link roads, pathways or any other road with or without drainage system",350000.0,500000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18006/2024-2025/135650-Construction of roads, link roads, pathways or any other road with or without drainage system",350000.0,500000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18006/2024-2025/135651-Construction of roads, link roads, pathways or any other road with or without drainage system",500000.0,500000.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18006/2024-2025/135652-Construction of roads, link roads, pathways or any other road with or without drainage system",500000.0,500000.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18006/2024-2025/135653-Construction of roads, link roads, pathways or any other road with or without drainage system",350000.0,500000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18006/2024-2025/135654-Construction of roads, link roads, pathways or any other road with or without drainage system",600000.0,500000.0,60,3,1.2,60.0,"Cumulative payments (₹ 600,000) exceed sanctioned amount (₹ 500,000).",DEMO / SIMULATED DATA
"WS/MP18006/2024-2025/135655-Construction of roads, link roads, pathways or any other road with or without drainage system",500000.0,500000.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18006/2024-2025/135656-Construction of roads, link roads, pathways or any other road with or without drainage system",350000.0,500000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18006/2024-2025/135658-Construction of roads, link roads, pathways or any other road with or without drainage system",2000000.0,2000000.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18032/2024-2025/134022-Construction of roads, link roads, pathways or any other road with or without drainage system",1047792.2,1496846.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18032/2024-2025/134023-Construction of roads, link roads, pathways or any other road with or without drainage system",1047538.8,1496484.0,100,2,0.7000000000000001,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18032/2024-2025/134024-Construction of roads, link roads, pathways or any other road with or without drainage system",1497484.0,1497484.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18032/2024-2025/134025-Purchase of furniture and fixtures for educational purposes,899640.0,899640.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18032/2024-2025/134026-Construction of roads, link roads, pathways or any other road with or without drainage system",495133.0,495133.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18032/2024-2025/134034-Development of public parks,1491632.0,1491632.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18032/2024-2025/134035-Development of public parks,966987.0,966987.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18032/2024-2025/134037-Development of public parks,691369.7,987671.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18032/2024-2025/134038-Installing tube-wells and borewells,991583.0,991583.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18032/2024-2025/134039-Construction of roads, link roads, pathways or any other road with or without drainage system",349070.4,498672.0,100,2,0.7000000000000001,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18032/2024-2025/134041-Construction of roads, link roads, pathways or any other road with or without drainage system",312900.0,447000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18032/2025-2026/134031-Construction of buildings for crèches and anganwadies,340965.80000000005,487094.0,100,2,0.7000000000000001,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18065/2024-2025/134434-Construction of buildings for community cultural activities,345540.30000000005,493629.0,100,2,0.7000000000000001,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18065/2024-2025/134737-Setting up public non-conventional energy plants,560000.0,800000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18065/2024-2025/134739-Construction of community centers and community halls,450000.0,500000.0,40,2,0.9,50.0,Premature high disbursement (90%) for low reported progress (40%).,DEMO / SIMULATED DATA
WS/MP18065/2024-2025/134741-Construction of boundary walls of existing public and community buildings,350000.0,500000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18065/2024-2025/134742-Construction of community centers and community halls,770000.0,1100000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18065/2024-2025/135232-Construction of community centers and community halls,1100000.0,1100000.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18065/2024-2025/135587-Construction of common work sheds/ common covered sitting area,184359.7,263371.0,100,2,0.7000000000000001,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18065/2025-2026/134736-Construction of buildings for multi-gym,700000.0,1000000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18065/2025-2026/134740-Construction of community centers and community halls,770000.0,1100000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18065/2025-2026/135231-Construction of boundary walls of existing public and community buildings,350000.0,500000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18067/2025-2026/134321-Construction of water tanks,545000.0,545000.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18067/2025-2026/134322-Construction of community centers and community halls,349300.0,499000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18067/2025-2026/134323-Installation of multi-gym equipment,270000.0,300000.0,40,2,0.9,50.0,Premature high disbursement (90%) for low reported progress (40%).,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133686-Construction of rooms and halls in school and colleges,300000.0,300000.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133687-Construction of rooms and halls in school and colleges,210000.0,300000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133688-Construction of rooms and halls in school and colleges,300000.0,300000.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133689-Construction of rooms and halls in school and colleges,300000.0,300000.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133690-Construction of rooms and halls in school and colleges,210000.0,300000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133691-Construction of rooms and halls in school and colleges,210000.0,300000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133692-Construction of rooms and halls in school and colleges,209408.5,299155.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133693-Construction of rooms and halls in school and colleges,210000.0,300000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133694-Construction of rooms and halls in school and colleges,300000.0,300000.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133695-Construction of rooms and halls in school and colleges,138112.8,197304.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133696-Installing community drinking water plants,84500.0,84500.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133697-Construction of rooms and halls in school and colleges,209258.0,298940.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133698-Construction of rooms and halls in school and colleges,175000.0,250000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133699-Installing community drinking water plants,84500.0,84500.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133700-Installing community drinking water plants,70000.0,100000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133701-Installing community drinking water plants,84500.0,84500.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133702-Installing community drinking water plants,59150.0,84500.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18152/2024-2025/133703-Installing community drinking water plants,59150.0,84500.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18153/2024-2025/135255-Installing community drinking water plants,162443.40000000002,232062.0,100,2,0.7000000000000001,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18153/2024-2025/135256-Installing community drinking water plants,162690.5,232415.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18153/2024-2025/135257-Installing community drinking water plants,162526.0,232180.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18153/2024-2025/135258-Installing community drinking water plants,162690.5,232415.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18153/2024-2025/135259-Installing community drinking water plants,232650.0,232650.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18153/2024-2025/135260-Installing community drinking water plants,162690.5,232415.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18153/2024-2025/135261-Installing community drinking water plants,232180.0,232180.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18153/2024-2025/135262-Installing community drinking water plants,232697.0,232697.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18153/2024-2025/135263-Installing community drinking water plants,232415.0,232415.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18153/2024-2025/135264-Purchase of mobile water tankers,241056.0,241056.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18153/2024-2025/135265-Purchase of mobile water tankers,168583.09999999998,240833.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18153/2024-2025/135266-Installing community drinking water plants,232415.0,232415.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18159/2024-2025/134479-Installing tube-wells and borewells,105000.0,150000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18182/2024-2025/134222-Construction of boundary walls of existing public and community buildings,1740255.2999999998,2486079.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18182/2024-2025/134223-Construction of boundary walls of existing public and community buildings,2493302.0,2493302.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18182/2024-2025/134224-Construction of boundary walls of existing public and community buildings,1736746.9,2481067.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18182/2024-2025/134225-Construction of boundary walls of existing public and community buildings,2482079.0,2482079.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18250/2024-2025/135267-Installing tube-wells and borewells,2450000.0,3500000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18250/2024-2025/135268-Installing tube-wells and borewells,2450000.0,3500000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18250/2024-2025/135269-Installing tube-wells and borewells,2800000.0,2800000.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135003-Lighting of public spaces,410701.19999999995,586716.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135004-Lighting of public spaces,586716.0,586716.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135005-Lighting of public spaces,586716.0,586716.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135006-Lighting of public spaces,586716.0,586716.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135007-Lighting of public spaces,410701.19999999995,586716.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135008-Lighting of public spaces,704059.2,586716.0,60,3,1.2,60.0,"Cumulative payments (₹ 704,059) exceed sanctioned amount (₹ 586,716).",DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135009-Lighting of public spaces,586716.0,586716.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135010-Lighting of public spaces,586716.0,586716.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135011-Lighting of public spaces,410701.19999999995,586716.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135012-Lighting of public spaces,586716.0,586716.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135160-Lighting of public spaces,586716.0,586716.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135163-Lighting of public spaces,586716.0,586716.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135164-Lighting of public spaces,586716.0,586716.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135165-Lighting of public spaces,586716.0,586716.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135166-Lighting of public spaces,586716.0,586716.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135171-Lighting of public spaces,586716.0,586716.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135172-Lighting of public spaces,586716.0,586716.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135173-Lighting of public spaces,528044.3999999999,586716.0,40,2,0.8999999999999998,50.0,Premature high disbursement (90%) for low reported progress (40%).,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135174-Lighting of public spaces,410701.19999999995,586716.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135175-Lighting of public spaces,410701.19999999995,586716.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135176-Lighting of public spaces,586716.0,586716.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135177-Lighting of public spaces,586716.0,586716.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135179-Lighting of public spaces,410701.19999999995,586716.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135180-Lighting of public spaces,586716.0,586716.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135181-Lighting of public spaces,586716.0,586716.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135182-Lighting of public spaces,410701.19999999995,586716.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135183-Lighting of public spaces,410701.19999999995,586716.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135184-Lighting of public spaces,586716.0,586716.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135185-Lighting of public spaces,586716.0,586716.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135210-Lighting of public spaces,410701.19999999995,586716.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135211-Lighting of public spaces,410701.19999999995,586716.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135212-Lighting of public spaces,586716.0,586716.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135271-Lighting of public spaces,704059.2,586716.0,60,3,1.2,60.0,"Cumulative payments (₹ 704,059) exceed sanctioned amount (₹ 586,716).",DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135272-Lighting of public spaces,586716.0,586716.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18271/2025-2026/135273-Lighting of public spaces,410701.19999999995,586716.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18278/2024-2025/134629-Construction of roads, link roads, pathways or any other road with or without drainage system",1000000.0,1000000.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18278/2024-2025/134630-Construction of boundary walls of existing public and community buildings,700000.0,1000000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18278/2024-2025/134631-Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes",350000.0,500000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18278/2024-2025/134632-Construction of roads, link roads, pathways or any other road with or without drainage system",700000.0,1000000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18278/2024-2025/134633-Construction of roads, link roads, pathways or any other road with or without drainage system",1000000.0,1000000.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18278/2024-2025/134638-Construction of common work sheds/ common covered sitting area,300000.0,300000.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18278/2024-2025/134644-Construction of roads, link roads, pathways or any other road with or without drainage system",700000.0,1000000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18278/2024-2025/134646-Construction of roads, link roads, pathways or any other road with or without drainage system",699685.0,999550.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18278/2024-2025/134649-Construction of culverts and bridges,699209.7,998871.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18278/2024-2025/134655-Construction of roads, link roads, pathways or any other road with or without drainage system",700000.0,700000.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18278/2024-2025/134658-Construction of roads, link roads, pathways or any other road with or without drainage system",999744.0,999744.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18278/2024-2025/134660-Construction of roads, link roads, pathways or any other road with or without drainage system",999856.0,999856.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18278/2024-2025/134661-Construction of boundary walls of existing public and community buildings,350000.0,500000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18278/2024-2025/134665-Construction of roads, link roads, pathways or any other road with or without drainage system",616837.2,881196.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18278/2024-2025/134666-Construction of roads, link roads, pathways or any other road with or without drainage system",699840.3999999999,999772.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18278/2024-2025/134667-Construction of roads, link roads, pathways or any other road with or without drainage system",1200000.0,1200000.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18278/2024-2025/134668-Construction of roads, link roads, pathways or any other road with or without drainage system",1050000.0,1500000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/MP18278/2024-2025/134670-Construction of boundary walls of existing public and community buildings,598982.0,598982.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18278/2024-2025/134671-Construction of roads, link roads, pathways or any other road with or without drainage system",450000.0,500000.0,40,2,0.9,50.0,Premature high disbursement (90%) for low reported progress (40%).,DEMO / SIMULATED DATA
"WS/MP18278/2024-2025/134672-Construction of roads, link roads, pathways or any other road with or without drainage system",991511.0,991511.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
"WS/MP18278/2024-2025/134673-Construction of roads, link roads, pathways or any other road with or without drainage system",349934.19999999995,499906.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
